ClassId,AverageSize,DistinctSizesCount,PeakRecordsCount,TotalRecords,StdDev
2468,118,154,90,1084,78.9
2468,470,59,17,171,62.4
2630,316,17,7,62,4.6
3200,149,24,3,31,13.9
3227,25190,38,1,38,2254.5
3646,3297,181,2,187,707.2
3646,4893,61,2,62,703.8
3646,9917,3,1,,3,1778.3
4006,80,106,62,233,2420.9
4006,26517,7,1,7,6477.3
4031,109,739,34,1619,1001.2
4031,13745,10,1,10,3303.3
4031,20303,11,1,11,2498
4104,1015,21,1,21,361.1
5000,393,662,139080,7063269,197
5000,1558,700,31142,3147148,192.6
5000,1139,420,98,9476,473.2
5000,3073,138,3,152,435.9
5000,6385,47,2,50,546.4
6217,3452,4,1,4,6848.9
6849,8435,10,3,12,10224
7344,249,11,140,1274,9.6
7344,244,41,96,1053,14.2
8345,419,5,1,5,3
8428,153,13,6,24,50.9
8428,238,111,32,728,32.3
8952,236,16,71,189,8.5
9026,507,12,1,12,62.8
9026,781,5,2,6,23.2
9026,967,73,48,1025,13.8
9026,1919,3,1,3,93.5
9250,34,6,67,136,5.8
9655,305,15,34,195,114.8
9655,28797,3,1,3,1904.6
