ClassId, Size, Count
2748, 134, 1
2748, 144, 1
3262, 27, 286
3351, 181, 1
4031, 13, 108
4031, 67, 102
4031, 126, 272
4031, 136, 156
5004, 182, 32479
5267, 931, 1
6347, 121, 1
7068, 821, 368
7068, 822, 363
7219, 59, 242
7219, 66, 121
8334, 183, 1
8827, 83, 166
9710, 145, 107104
9855, 4825, 1
13064, 719, 663
35980, 24, 1
35980, 37, 1
35980, 39, 22
36929, 61, 1
38018, 54, 2515802
39136, 31, 1
39136, 6401, 1
40850, 924, 5636
40850, 925, 5972
40850, 926, 6022
40850, 927, 5868
40850, 928, 5540
40850, 25704, 1
