ClassId,Size,Count
2,32711,167969
3351,181,1
4730,32,9
5006,85,4917
5006,101,4840
5006,124,192
5719,5047,1
6559,3,1
7166,211,2232
8160,79,1
8160,511,1
8160,1051,1
8366,217,320
8366,470,101
8366,471,151
8379,98,1
8617,127,1695
8617,129,1643
8859,1271,1
8859,1276,2
9256,39,86
9256,41,1582
9256,51,5
9256,53,34
9631,48,7
9631,49,160
9631,50,13217
9631,51,34671
9631,52,6015
9855,4825,1
13064,719,663
34897,3,1
34897,498,1
36106,264,104
36307,9,15
39079,162,2
39079,163,2
39079,164,3
40220,30,2
40273,146,1
40273,147,1
40822,138,8798
40822,144,8089
41368,88,2057
41368,89,1936
42408,47,4845
42408,52,5465078
42408,53,28
42795,44,11754
43796,1,5
44190,178,151
44934,301,1
44934,738,1
45568,17,1
46126,817,171
46126,818,159
46246,5,139
46246,12284,1
46246,24334,1
47160,1,82
47611,45,37811
47611,46,2199
49018,63,5
49018,65,2
49018,67,217
49443,55,4
49443,57,4
50461,20,1
51517,105,1
52262,61,272
52262,589,578
52262,590,608
52262,591,563
52262,592,552
52612,23,17364
52612,34,4
52612,36,3
53160,88,1
53160,96,2
53160,101,9
53375,76,1
54843,210,1
54843,601,1
56827,2465,1
57485,281,8671
57786,512,5889
57786,513,6018
57786,514,6493
57786,515,6495
57786,516,6080
58366,208,1
58498,343,15184
60726,550,1
61798,13,15
61798,14,169
61798,15,1301
61798,16,255
61798,17,6
61798,18,2
62541,51,13043
62848,161,83698
62848,162,92890
62848,5372,1
63489,177,85544
64591,37,1792
64591,41,332
64591,48,388
