ClassId,Size,Count,,,
2904,54,5,,,
2904,57,2,,,
3334,302,1,,,
4642,56,1,,,
5004,182,32479,,,
5627,13,2,,,
6474,2191,3,,,
6517,508,2,,,
6517,513,2,,,
7068,821,368,,,
7068,822,363,,,
7219,59,242,,,
7219,66,121,,,
7903,9,1,,,
7903,16,35,,,
7903,17,104,,,
8087,34,38,,,
8087,37,227,,,
8358,172,143,,,
8358,173,245,,,
8358,174,171,,,
8369,2988,1,,,
9249,26,607,,,
9249,29,68,,,
9249,36,43,,,
9249,44,141,,,
9249,49,2,,,
9816,26,4,,,
33171,50,1645,,,
33171,51,1488,,,
35675,9097,1,,,
35872,31,1,,,
38005,32,248,,,
38555,78,3554,,,
38555,79,3418,,,
39802,103,1,,,
39967,34,42,,,
39967,38,36,,,
41310,119,536,,,
41920,27,25,,,
41920,28,15,,,
41999,17305,1,,,
42634,54,1594,,,
43319,33,1,,,
43430,105,1901,,,
43650,61,2422,,,
45379,45,1,,,
46929,10,1043,,,
47420,34,222,,,
49442,45,4,,,
49442,47,4,,,
50177,61,1,,,
50958,106,1,,,
50958,150,1,,,
51416,19,32735,,,
51831,238,4,,,
51831,255,16235,,,
52432,69,165,,,
52433,4449,1,,,
52844,91,1,,,
53166,79,3708,,,
53966,1674,1436,,,
54459,15,1,,,
54459,16,1,,,
56569,33,1,,,
56655,541,105,,,
57873,39,12899,,,
58124,35,1,,,
58496,842,853,,,
58496,843,939,,,
58496,844,907,,,
58496,845,888,,,
58982,279,8722,,,
61386,50,295,,,
61386,51,1181,,,
61386,52,430,,,
61386,53,572,,,
62274,75,11,,,
62274,76,2,,,
62274,91,1,,,
62622,61,443,,,
62622,91,159,,,
62622,668,414,,,
63141,50,233,,,
63141,67,17,,,
63487,115,11039,,,
63989,397,139,,,
63989,398,155,,,
64453,60,30,,,
64453,86,1,,,
64453,96,1,,,
