ClassId,Size,Count
2858,22,1
2858,102,1
3045,145,1
4020,196,1130538
4020,198,1191917
4020,199,1141568
4020,333110,1
4020,425016,1
4020,563948,1
4020,622255,1
4020,739368,1
4020,988188,1
4023,121,583
4023,32417,1
4033,30,1
4998,259,144
4998,260,173
4998,264,376
4998,265,150
5305,274,25431
5305,275,25818
5597,255,1
5875,11713,1
6359,43,9
6359,44,90
6359,47,29797
6452,636,1
8207,31,1
8361,1949,1
8361,3600,1
8484,317,1
8484,319,1
8642,149,610
8642,150,16
8642,173,3
8642,174,1
9362,46,485
9459,20666,1
9710,145,107104
30308,204,544
30308,209,575
30308,210,569
33358,9,39
34191,43,1
34191,57,1
35980,24,1
35980,37,1
35980,39,22
36177,138,156
36177,141,140
36544,677,1
39189,282,1
41771,91,1
41771,128,1
41771,3712,1
42845,34,1
44158,55,628
44242,33,1066
44242,35,168
44242,25740,1
44421,20,916204
44421,21,360577
44421,22,2498952
44421,23,9027
44421,24,1
44421,25,1
44778,622,1
46574,16,1
46574,32,148
46574,39,1
46656,179,1
48245,196,1
48245,466,1
49490,3,1
51067,57,1
51698,33,2
51698,34,4
51698,35,3
52525,10,4345
52977,3,237
53183,28,157
53183,35,150
53183,47,108
53183,48,152
53183,49,122
53725,164,162
53725,192,146
54271,196,1257
54935,626,1
55480,369,17607
55480,370,18082
55480,371,17682
55480,372,16605
57848,151,1
58576,87,13606
60108,391,6
61312,161,1
61312,162,1
61312,164,1
61436,139,688
61436,145,682
61436,152,742
62079,153,172
62079,157,107
62584,52,1
62584,65,1
62929,267,2104
62929,268,2154
63616,17,1
63960,91,131
64537,51,2
64537,52,1
2039,200,1
2471,102,685
2471,1145,1
2742,359,10018
2742,360,10439
2742,361,10331
2748,134,1
2748,144,1
3275,177,1
3275,178,1
3936,61,220
3936,91,266
3936,98,116
3936,99,940
3959,149,455
4030,197,1
4705,134,2
4705,135,1
4705,162,2
5543,119,18
6327,23,1
6327,2019,1
6347,121,1
8175,34,1
8457,91,205
9042,128,1
9042,261,1
9197,53,1
33068,821,2
33068,823,1
33068,829,1
33183,12,868
33183,16,56
33183,17,9
33310,72,1
33823,270,10
33823,334,1
35049,38,465
35049,134,463
36768,69,529850
36768,307,1
36768,1384,1
39101,69,41
39136,31,1
39136,6401,1
39422,54,113117
41112,100,2161
41222,266,1
41222,267,1
41686,176,1
41686,216,2
41686,217,1
42279,18,4043
42650,448,256
42650,503,262
43499,713,6507
43499,714,6748
43499,715,6615
44157,21,1269
46152,101,2
46152,104,12
46152,105,1
46544,9,1
47916,46,3332
47916,53,558
48004,64,936
49218,46,288
49218,48,307
49218,49,249
49218,50,162
49486,183,1
50668,27,1
50668,109,1
50668,815,1
51024,62,1
52476,78,1
53574,181,1
53574,489,1
54656,89,1
55494,91,868
56072,53,743
56072,55,797
56072,56,176
56072,58,357
56072,62,181
57407,61,1
57414,262,90795
57414,1011,1
57579,191,10408
58815,91,8960
59661,919,1
59985,1287,1
59985,1291,1
60446,19,1
60446,842,1
60446,3210,1
61306,62,19
61306,70,101299
61306,72,92394
61306,80,18
61892,138,259687
61892,448,1
62681,45,54
62798,235,1
62798,558,7874
62798,559,8311
62798,560,8273
62798,561,8017
64497,271,3
64497,301,1
1,2694,1
2969,353,203
2969,354,205
3223,10223,1
3262,27,286
4021,1,37026
