IndexName,IndexPartNumber,IndexPartName,TypeName,Size,Count,AvgLength
Table_BBI,0,Column_BI,String,32,1,0
Table_BG,0,Column_Group,String,32,1,0
Table_BG,1,Column_BT,String,32,1,13
Table_PB,0,Column_BN,String,32,10282314,7.26
Table_PB,1,Column_ED,Date,8,10282314,
Table_PB,2,Column_QU,String,32,10282314,27.1
Table_PB,3,Column_Q,Double,8,10282314,
Table_PNT,0,Column_NTD,Date,8,10282314,
Table_PNT,1,Column_BN,String,32,10282314,7.93
Table_PNT,2,Column_Q,Double,8,10282314,
Table_TETID,0,Column_ETID,String,32,10528076,17.74
Table_TMID,0,Column_MID,Double,8,10528076,
Table_TST,0,Column_ST,String,32,10528076,28.83
Table_TT,0,Column_Group,String,32,10528076,23.83
Table_TT,1,Column_L,String,32,10528076,3.09
Table_TT,2,Column_TT,Time,8,10528076,
Table_EBBI,0,Column_BI,String,32,0,
Table_MIMID,0,Column_MID,Double,8,0,
